Date,Price,Open,High,Low,Vol.,Change %,,,rank,commentCount,likeCount,,,,,type1,value1,,gender,
19-Mar,25928.68,26019.67,26155.98,25208,6.63B,0.05%,27,,17,72,892,,,,,,,,M,
19-Apr,26592.91,26075.1,26695.96,26062.59,5.85B,2.56%,26,,18,33,859,,,,,,,,F,
19-May,24815.04,26639.06,26689.39,24809.51,6.36B,-6.69%,25,,19,40,842,,,,,,,,F,
19-Jun,26599.96,24830.16,26907.37,24680.57,5.54B,7.19%,24,,20,108,835,,,,,,,,F,
19-Jul,26864.27,26805.86,27398.68,26616.21,5.27B,0.99%,23,,21,30,791,,,,,,,,F,
19-Aug,26403.28,26879.86,27175.59,25339.6,6.24B,-1.72%,22,,22,52,740,,,,,,,,M,
19-Sep,26916.83,26198.26,27306.73,25978.22,5.09B,1.95%,21,,23,60,697,,,,,,,,F,
19-Oct,27046.23,26962.54,27204.36,25743.46,5.72B,0.48%,20,,24,70,685,,,,,,,,M,
19-Nov,28051.41,27142.95,28174.97,27142.95,4.98B,3.72%,19,,25,38,666,,,,,,,,F,
19-Dec,28538.44,28109.74,28701.66,27325.13,5.14B,1.74%,18,,26,112,661,,,,,,,,F,
20-Jan,28256.03,28638.97,29373.62,28169.53,6.27B,-0.99%,17,,27,94,657,,,,,,,,F,
20-Feb,25409.36,28319.65,29568.57,24681.01,7.05B,-10.07%,16,,28,35,656,,,,,,,,F,
20-Mar,21917.16,25590.51,27102.34,18213.65,15.60B,-13.74%,15,,29,86,648,,,,,,,,M,
20-Apr,24345.72,21227.38,24764.77,20735.02,9.88B,11.08%,14,,30,108,643,,,,,,,,F,
20-May,25383.11,24120.78,25758.79,22789.62,8.01B,4.26%,13,,1,137,4939,,,,,,,,M,
20-Jun,25812.88,25342.99,27580.21,24843.18,9.82B,1.69%,12,,2,72,3877,,,,,,,,M,
20-Jul,26428.32,25879.38,27071.33,25523.51,8.27B,2.38%,11,,3,230,3783,,,,,,,,F,
